id_subsistema;nom_subsistema;din_instante;val_gerhidraulica;val_gertermica;val_gereolica;val_gersolar;val_carga;val_intercambio
NE;NORDESTE;2025-01-01 00:00:00;2219.27999999;415.154;16070.653;0.0;12251.182;6453.905
N;NORTE;2025-01-01 00:00:00;6818.53199999;1576.087;401.685;0.0;7097.75099999;1698.553
SIN;SISTEMA INTERLIGADO NACIONAL;2025-01-01 00:00:00;40778.712;6835.338;17662.519;1.0;65277.57;0.0
SE;SUDESTE/CENTRO-OESTE;2025-01-01 00:00:00;23801.96999999;4510.835;5.001;0.0;35374.03299999;-7056.227
S;SUL;2025-01-01 00:00:00;7938.92999999;333.262;1185.17999999;1.0;10554.60299999;-1096.231
NE;NORDESTE;2025-01-01 01:00:00;2199.629;414.65;16353.469;0.0;12460.162;6507.58599999
N;NORTE;2025-01-01 01:00:00;6798.411;1583.919;396.855;0.0;7053.337;1725.848
SIN;SISTEMA INTERLIGADO NACIONAL;2025-01-01 01:00:00;41095.058;6795.204;17823.56;1.0;65714.82;0.0
SE;SUDESTE/CENTRO-OESTE;2025-01-01 01:00:00;23482.617;4493.238;5.0;0.0;35373.185;-7392.32999999
S;SUL;2025-01-01 01:00:00;8614.40099999;303.397;1068.23599999;1.0;10828.13799999;-841.104
NE;NORDESTE;2025-01-01 02:00:00;2198.062;418.855;16971.901;0.0;12588.628;7000.19
N;NORTE;2025-01-01 02:00:00;6794.287;1583.857;383.406;0.0;7244.13;1517.41999999
SIN;SISTEMA INTERLIGADO NACIONAL;2025-01-01 02:00:00;40503.812;6679.854;18394.964;1.0;65579.63;0.0
SE;SUDESTE/CENTRO-OESTE;2025-01-01 02:00:00;23312.15399999;4412.969;4.0;0.0;35141.831;-7412.708
S;SUL;2025-01-01 02:00:00;8199.30899999;264.173;1035.657;1.0;10605.04099999;-1104.902
NE;NORDESTE;2025-01-01 03:00:00;2206.74399999;415.837;16811.2;0.0;12604.346;6829.435
N;NORTE;2025-01-01 03:00:00;6798.598;1585.349;386.052;0.0;7255.306;1514.693
