id_subsistema;nom_subsistema;din_instante;val_cargaenergiahomwmed
N;NORTE;2025-01-01 00:00:00;7097.75099999
NE;NORDESTE;2025-01-01 00:00:00;12251.182
S;SUL;2025-01-01 00:00:00;10554.60299999
SE;SUDESTE;2025-01-01 00:00:00;35374.03299999
N;NORTE;2025-01-01 01:00:00;7053.337
NE;NORDESTE;2025-01-01 01:00:00;12460.162
S;SUL;2025-01-01 01:00:00;10828.13799999
SE;SUDESTE;2025-01-01 01:00:00;35373.185
N;NORTE;2025-01-01 02:00:00;7244.13
NE;NORDESTE;2025-01-01 02:00:00;12588.628
S;SUL;2025-01-01 02:00:00;10605.04099999
SE;SUDESTE;2025-01-01 02:00:00;35141.831
N;NORTE;2025-01-01 03:00:00;7255.306
NE;NORDESTE;2025-01-01 03:00:00;12604.346
S;SUL;2025-01-01 03:00:00;10260.22599999
SE;SUDESTE;2025-01-01 03:00:00;34470.60799999
N;NORTE;2025-01-01 04:00:00;7232.931
NE;NORDESTE;2025-01-01 04:00:00;12596.084
S;SUL;2025-01-01 04:00:00;9971.459
SE;SUDESTE;2025-01-01 04:00:00;33814.527
N;NORTE;2025-01-01 05:00:00;7229.36199999
NE;NORDESTE;2025-01-01 05:00:00;11998.62999999
S;SUL;2025-01-01 05:00:00;9601.931
SE;SUDESTE;2025-01-01 05:00:00;32509.154
N;NORTE;2025-01-01 06:00:00;7005.63099999
NE;NORDESTE;2025-01-01 06:00:00;11507.30699999
S;SUL;2025-01-01 06:00:00;9724.829
SE;SUDESTE;2025-01-01 06:00:00;31982.939
N;NORTE;2025-01-01 07:00:00;6807.913
NE;NORDESTE;2025-01-01 07:00:00;11082.651
S;SUL;2025-01-01 07:00:00;9965.59099999
SE;SUDESTE;2025-01-01 07:00:00;32207.683
N;NORTE;2025-01-01 08:00:00;6774.52599999
NE;NORDESTE;2025-01-01 08:00:00;10758.20199999
S;SUL;2025-01-01 08:00:00;9840.035
SE;SUDESTE;2025-01-01 08:00:00;32453.665
N;NORTE;2025-01-01 09:00:00;6772.877
NE;NORDESTE;2025-01-01 09:00:00;10577.688
S;SUL;2025-01-01 09:00:00;9783.913
SE;SUDESTE;2025-01-01 09:00:00;33264.864
N;NORTE;2025-01-01 10:00:00;6772.958
NE;NORDESTE;2025-01-01 10:00:00;10415.971
S;SUL;2025-01-01 10:00:00;10098.013
SE;SUDESTE;2025-01-01 10:00:00;34528.425
N;NORTE;2025-01-01 11:00:00;6736.793
NE;NORDESTE;2025-01-01 11:00:00;10248.979
S;SUL;2025-01-01 11:00:00;10725.96499999
SE;SUDESTE;2025-01-01 11:00:00;35240.858
N;NORTE;2025-01-01 12:00:00;6739.884
NE;NORDESTE;2025-01-01 12:00:00;9925.75399999
S;SUL;2025-01-01 12:00:00;10832.859
SE;SUDESTE;2025-01-01 12:00:00;34901.939
N;NORTE;2025-01-01 13:00:00;6734.909
NE;NORDESTE;2025-01-01 13:00:00;9938.75899999
S;SUL;2025-01-01 13:00:00;10905.229
SE;SUDESTE;2025-01-01 13:00:00;33922.866
N;NORTE;2025-01-01 14:00:00;6854.58
NE;NORDESTE;2025-01-01 14:00:00;10096.473
S;SUL;2025-01-01 14:00:00;11148.76
SE;SUDESTE;2025-01-01 14:00:00;33522.846
N;NORTE;2025-01-01 15:00:00;6928.58099999
NE;NORDESTE;2025-01-01 15:00:00;10523.082
S;SUL;2025-01-01 15:00:00;11466.503
SE;SUDESTE;2025-01-01 15:00:00;34114.35699999
N;NORTE;2025-01-01 16:00:00;6968.51199999
NE;NORDESTE;2025-01-01 16:00:00;11211.263
S;SUL;2025-01-01 16:00:00;11707.14299999
SE;SUDESTE;2025-01-01 16:00:00;35243.34399999
N;NORTE;2025-01-01 17:00:00;6962.122
NE;NORDESTE;2025-01-01 17:00:00;11875.14899999
S;SUL;2025-01-01 17:00:00;11791.594
SE;SUDESTE;2025-01-01 17:00:00;36531.05999999
N;NORTE;2025-01-01 18:00:00;7243.717
NE;NORDESTE;2025-01-01 18:00:00;13314.967
S;SUL;2025-01-01 18:00:00;11966.126
SE;SUDESTE;2025-01-01 18:00:00;38713.236
N;NORTE;2025-01-01 19:00:00;7584.457
NE;NORDESTE;2025-01-01 19:00:00;13778.667
S;SUL;2025-01-01 19:00:00;12879.518
SE;SUDESTE;2025-01-01 19:00:00;42135.88
N;NORTE;2025-01-01 20:00:00;7760.34399999
NE;NORDESTE;2025-01-01 20:00:00;13823.916
S;SUL;2025-01-01 20:00:00;13423.447
SE;SUDESTE;2025-01-01 20:00:00;42880.889
N;NORTE;2025-01-01 21:00:00;7950.068
NE;NORDESTE;2025-01-01 21:00:00;14169.462
S;SUL;2025-01-01 21:00:00;13267.566
SE;SUDESTE;2025-01-01 21:00:00;42494.894
N;NORTE;2025-01-01 22:00:00;8083.876
NE;NORDESTE;2025-01-01 22:00:00;14313.776
S;SUL;2025-01-01 22:00:00;12921.198
SE;SUDESTE;2025-01-01 22:00:00;41316.17299999
N;NORTE;2025-01-01 23:00:00;8128.672
NE;NORDESTE;2025-01-01 23:00:00;14162.127
S;SUL;2025-01-01 23:00:00;12136.253
SE;SUDESTE;2025-01-01 23:00:00;39554.35499999
N;NORTE;2025-01-02 00:00:00;8003.64399999
NE;NORDESTE;2025-01-02 00:00:00;13814.316
S;SUL;2025-01-02 00:00:00;11426.02799999
SE;SUDESTE;2025-01-02 00:00:00;37511.013
N;NORTE;2025-01-02 01:00:00;7806.286
NE;NORDESTE;2025-01-02 01:00:00;13534.999
S;SUL;2025-01-02 01:00:00;10910.133
SE;SUDESTE;2025-01-02 01:00:00;35728.71399999
N;NORTE;2025-01-02 02:00:00;7699.036
NE;NORDESTE;2025-01-02 02:00:00;13254.046
S;SUL;2025-01-02 02:00:00;10537.11999999
SE;SUDESTE;2025-01-02 02:00:00;34713.515
N;NORTE;2025-01-02 03:00:00;7560.124
NE;NORDESTE;2025-01-02 03:00:00;13053.245
S;SUL;2025-01-02 03:00:00;10288.471
SE;SUDESTE;2025-01-02 03:00:00;34104.886
N;NORTE;2025-01-02 04:00:00;7430.633
NE;NORDESTE;2025-01-02 04:00:00;12892.022
S;SUL;2025-01-02 04:00:00;10172.806
SE;SUDESTE;2025-01-02 04:00:00;33992.543
N;NORTE;2025-01-02 05:00:00;7329.973
NE;NORDESTE;2025-01-02 05:00:00;12384.52899999
S;SUL;2025-01-02 05:00:00;10294.39599999
SE;SUDESTE;2025-01-02 05:00:00;34234.47199999
N;NORTE;2025-01-02 06:00:00;7124.658
NE;NORDESTE;2025-01-02 06:00:00;12104.686
S;SUL;2025-01-02 06:00:00;11047.885
SE;SUDESTE;2025-01-02 06:00:00;35795.499
N;NORTE;2025-01-02 07:00:00;7161.435
NE;NORDESTE;2025-01-02 07:00:00;12662.606
S;SUL;2025-01-02 07:00:00;12275.107
SE;SUDESTE;2025-01-02 07:00:00;38543.52
N;NORTE;2025-01-02 08:00:00;7376.482
NE;NORDESTE;2025-01-02 08:00:00;12969.43399999
S;SUL;2025-01-02 08:00:00;13190.804
SE;SUDESTE;2025-01-02 08:00:00;40766.469
N;NORTE;2025-01-02 09:00:00;7624.39299999
NE;NORDESTE;2025-01-02 09:00:00;13007.728
S;SUL;2025-01-02 09:00:00;13721.309
SE;SUDESTE;2025-01-02 09:00:00;42016.494
N;NORTE;2025-01-02 10:00:00;7775.855
NE;NORDESTE;2025-01-02 10:00:00;13200.073
S;SUL;2025-01-02 10:00:00;14392.139
SE;SUDESTE;2025-01-02 10:00:00;43885.588
N;NORTE;2025-01-02 11:00:00;7717.09399999
NE;NORDESTE;2025-01-02 11:00:00;13295.853
S;SUL;2025-01-02 11:00:00;14826.96599999
SE;SUDESTE;2025-01-02 11:00:00;44899.17599999
N;NORTE;2025-01-02 12:00:00;7605.14299999
NE;NORDESTE;2025-01-02 12:00:00;13158.441
S;SUL;2025-01-02 12:00:00;14438.325
SE;SUDESTE;2025-01-02 12:00:00;45226.11099999
N;NORTE;2025-01-02 13:00:00;7651.784
NE;NORDESTE;2025-01-02 13:00:00;13477.21099999
S;SUL;2025-01-02 13:00:00;14718.21399999
SE;SUDESTE;2025-01-02 13:00:00;45967.072
N;NORTE;2025-01-02 14:00:00;7728.20199999
NE;NORDESTE;2025-01-02 14:00:00;13946.229
S;SUL;2025-01-02 14:00:00;14935.81
SE;SUDESTE;2025-01-02 14:00:00;46866.173
N;NORTE;2025-01-02 15:00:00;7835.34699999
NE;NORDESTE;2025-01-02 15:00:00;14206.306
S;SUL;2025-01-02 15:00:00;14558.911
SE;SUDESTE;2025-01-02 15:00:00;47373.98699999
N;NORTE;2025-01-02 16:00:00;7746.115
NE;NORDESTE;2025-01-02 16:00:00;14470.759
S;SUL;2025-01-02 16:00:00;14701.433
SE;SUDESTE;2025-01-02 16:00:00;47713.829
N;NORTE;2025-01-02 17:00:00;7637.909
NE;NORDESTE;2025-01-02 17:00:00;14337.09899999
S;SUL;2025-01-02 17:00:00;14671.884
SE;SUDESTE;2025-01-02 17:00:00;46442.029
N;NORTE;2025-01-02 18:00:00;7603.961
NE;NORDESTE;2025-01-02 18:00:00;14854.185
S;SUL;2025-01-02 18:00:00;14251.065
SE;SUDESTE;2025-01-02 18:00:00;46540.63
N;NORTE;2025-01-02 19:00:00;7869.739
NE;NORDESTE;2025-01-02 19:00:00;15189.091
S;SUL;2025-01-02 19:00:00;14928.48699999
SE;SUDESTE;2025-01-02 19:00:00;49489.095
N;NORTE;2025-01-02 20:00:00;7974.428
NE;NORDESTE;2025-01-02 20:00:00;15228.221
S;SUL;2025-01-02 20:00:00;15612.218
SE;SUDESTE;2025-01-02 20:00:00;49364.485
N;NORTE;2025-01-02 21:00:00;8138.98599999
NE;NORDESTE;2025-01-02 21:00:00;15698.69
S;SUL;2025-01-02 21:00:00;15465.006
SE;SUDESTE;2025-01-02 21:00:00;48556.001
N;NORTE;2025-01-02 22:00:00;8265.787
NE;NORDESTE;2025-01-02 22:00:00;15825.67199999
S;SUL;2025-01-02 22:00:00;14931.00099999
SE;SUDESTE;2025-01-02 22:00:00;46548.32599999
N;NORTE;2025-01-02 23:00:00;8256.72899999
NE;NORDESTE;2025-01-02 23:00:00;15540.362
S;SUL;2025-01-02 23:00:00;14030.604
SE;SUDESTE;2025-01-02 23:00:00;44086.001
N;NORTE;2025-01-03 00:00:00;8143.116
NE;NORDESTE;2025-01-03 00:00:00;15082.866
S;SUL;2025-01-03 00:00:00;13046.747
SE;SUDESTE;2025-01-03 00:00:00;41636.333
N;NORTE;2025-01-03 01:00:00;7926.532
NE;NORDESTE;2025-01-03 01:00:00;14720.23799999
S;SUL;2025-01-03 01:00:00;12292.58199999
SE;SUDESTE;2025-01-03 01:00:00;39781.181
N;NORTE;2025-01-03 02:00:00;7816.087
NE;NORDESTE;2025-01-03 02:00:00;14400.72599999
S;SUL;2025-01-03 02:00:00;11714.66
SE;SUDESTE;2025-01-03 02:00:00;38381.62399999
N;NORTE;2025-01-03 03:00:00;7683.237
NE;NORDESTE;2025-01-03 03:00:00;14156.80899999
S;SUL;2025-01-03 03:00:00;11432.737
SE;SUDESTE;2025-01-03 03:00:00;37633.48699999
N;NORTE;2025-01-03 04:00:00;7557.04099999
NE;NORDESTE;2025-01-03 04:00:00;13971.51399999
S;SUL;2025-01-03 04:00:00;11302.018
SE;SUDESTE;2025-01-03 04:00:00;37424.12399999
N;NORTE;2025-01-03 05:00:00;7433.44699999
NE;NORDESTE;2025-01-03 05:00:00;13381.03
S;SUL;2025-01-03 05:00:00;11222.264
SE;SUDESTE;2025-01-03 05:00:00;37609.651
N;NORTE;2025-01-03 06:00:00;7165.70199999
NE;NORDESTE;2025-01-03 06:00:00;12890.26699999
S;SUL;2025-01-03 06:00:00;11848.786
SE;SUDESTE;2025-01-03 06:00:00;38863.981
N;NORTE;2025-01-03 07:00:00;7189.17999999
NE;NORDESTE;2025-01-03 07:00:00;13070.708
S;SUL;2025-01-03 07:00:00;12896.18
SE;SUDESTE;2025-01-03 07:00:00;41380.67499999
N;NORTE;2025-01-03 08:00:00;7485.353
NE;NORDESTE;2025-01-03 08:00:00;13434.297
S;SUL;2025-01-03 08:00:00;13652.389
SE;SUDESTE;2025-01-03 08:00:00;43674.45599999
N;NORTE;2025-01-03 09:00:00;7678.801
NE;NORDESTE;2025-01-03 09:00:00;13510.841
S;SUL;2025-01-03 09:00:00;13916.263
SE;SUDESTE;2025-01-03 09:00:00;45192.74599999
N;NORTE;2025-01-03 10:00:00;7740.917
NE;NORDESTE;2025-01-03 10:00:00;13605.42699999
S;SUL;2025-01-03 10:00:00;14232.111
SE;SUDESTE;2025-01-03 10:00:00;46488.462
N;NORTE;2025-01-03 11:00:00;7697.791
NE;NORDESTE;2025-01-03 11:00:00;13668.007
S;SUL;2025-01-03 11:00:00;14774.10699999
SE;SUDESTE;2025-01-03 11:00:00;46637.57
N;NORTE;2025-01-03 12:00:00;7504.717
NE;NORDESTE;2025-01-03 12:00:00;13491.00799999
S;SUL;2025-01-03 12:00:00;14483.08
SE;SUDESTE;2025-01-03 12:00:00;46849.311
N;NORTE;2025-01-03 13:00:00;7692.869
NE;NORDESTE;2025-01-03 13:00:00;13700.137
S;SUL;2025-01-03 13:00:00;14871.254
SE;SUDESTE;2025-01-03 13:00:00;47781.823
N;NORTE;2025-01-03 14:00:00;8090.651
NE;NORDESTE;2025-01-03 14:00:00;14116.87499999
S;SUL;2025-01-03 14:00:00;15203.239
SE;SUDESTE;2025-01-03 14:00:00;48402.713
N;NORTE;2025-01-03 15:00:00;7997.735
NE;NORDESTE;2025-01-03 15:00:00;14394.113
S;SUL;2025-01-03 15:00:00;15006.121
SE;SUDESTE;2025-01-03 15:00:00;48272.087
N;NORTE;2025-01-03 16:00:00;7972.82
NE;NORDESTE;2025-01-03 16:00:00;14376.896
S;SUL;2025-01-03 16:00:00;15047.61399999
SE;SUDESTE;2025-01-03 16:00:00;47699.089
N;NORTE;2025-01-03 17:00:00;7755.21199999
NE;NORDESTE;2025-01-03 17:00:00;14252.39499999
S;SUL;2025-01-03 17:00:00;15096.457
SE;SUDESTE;2025-01-03 17:00:00;46798.982
N;NORTE;2025-01-03 18:00:00;7710.41499999
NE;NORDESTE;2025-01-03 18:00:00;14828.783
S;SUL;2025-01-03 18:00:00;14711.644
SE;SUDESTE;2025-01-03 18:00:00;47250.70099999
N;NORTE;2025-01-03 19:00:00;7982.86099999
NE;NORDESTE;2025-01-03 19:00:00;14962.435
S;SUL;2025-01-03 19:00:00;15300.043
SE;SUDESTE;2025-01-03 19:00:00;49684.159
N;NORTE;2025-01-03 20:00:00;8114.49
NE;NORDESTE;2025-01-03 20:00:00;15010.21099999
S;SUL;2025-01-03 20:00:00;15978.558
SE;SUDESTE;2025-01-03 20:00:00;49783.461
N;NORTE;2025-01-03 21:00:00;8239.09499999
NE;NORDESTE;2025-01-03 21:00:00;15442.14499999
S;SUL;2025-01-03 21:00:00;15834.915
SE;SUDESTE;2025-01-03 21:00:00;48784.758
N;NORTE;2025-01-03 22:00:00;8326.01
NE;NORDESTE;2025-01-03 22:00:00;15652.398
S;SUL;2025-01-03 22:00:00;15327.02699999
SE;SUDESTE;2025-01-03 22:00:00;47141.978
N;NORTE;2025-01-03 23:00:00;8314.874
NE;NORDESTE;2025-01-03 23:00:00;15412.81299999
S;SUL;2025-01-03 23:00:00;14475.605
SE;SUDESTE;2025-01-03 23:00:00;45122.243
N;NORTE;2025-01-04 00:00:00;8257.63399999
NE;NORDESTE;2025-01-04 00:00:00;14962.38899999
S;SUL;2025-01-04 00:00:00;13512.374
SE;SUDESTE;2025-01-04 00:00:00;42874.002
N;NORTE;2025-01-04 01:00:00;8058.494
NE;NORDESTE;2025-01-04 01:00:00;14506.69099999
S;SUL;2025-01-04 01:00:00;12680.69999999
SE;SUDESTE;2025-01-04 01:00:00;40873.233
N;NORTE;2025-01-04 02:00:00;7863.981
NE;NORDESTE;2025-01-04 02:00:00;14139.36699999
S;SUL;2025-01-04 02:00:00;12121.177
SE;SUDESTE;2025-01-04 02:00:00;39452.745
N;NORTE;2025-01-04 03:00:00;7764.27399999
NE;NORDESTE;2025-01-04 03:00:00;13935.52399999
S;SUL;2025-01-04 03:00:00;11729.124
SE;SUDESTE;2025-01-04 03:00:00;38522.97
N;NORTE;2025-01-04 04:00:00;7675.356
NE;NORDESTE;2025-01-04 04:00:00;13672.48099999
S;SUL;2025-01-04 04:00:00;11510.461
SE;SUDESTE;2025-01-04 04:00:00;38120.683
N;NORTE;2025-01-04 05:00:00;7559.72699999
NE;NORDESTE;2025-01-04 05:00:00;13017.71199999
S;SUL;2025-01-04 05:00:00;11234.0
SE;SUDESTE;2025-01-04 05:00:00;37710.441
N;NORTE;2025-01-04 06:00:00;7321.566
