id_subsistema;nom_subsistema;tip_reservatorio;nom_bacia;id_reservatorio;nom_reservatorio;cod_usina;din_instante;val_nivelmontante;val_niveljusante;val_volumeutil;val_vazaoafluente;val_vazaodefluente;val_vazaoturbinada;val_vazaovertida;val_vazaooutrasestruturas;val_vazaotransferida;val_vazaovertidanaoturbinavel
N;Norte;Reservatório com Usina;AMAZONAS;AMUHBB;BALBINA;277.0;2025-01-01 01:00:00;46.04;24.6;0.61;287.0;284.0;284.0;0.0;;;0.0
N;Norte;Reservatório com Usina;AMAZONAS;AMUHBB;BALBINA;277.0;2025-01-01 02:00:00;46.04;24.59;0.61;287.0;284.0;284.0;0.0;;;0.0
N;Norte;Reservatório com Usina;AMAZONAS;AMUHBB;BALBINA;277.0;2025-01-01 03:00:00;46.04;24.59;0.61;287.0;284.0;284.0;0.0;;;0.0
N;Norte;Reservatório com Usina;AMAZONAS;AMUHBB;BALBINA;277.0;2025-01-01 04:00:00;46.04;24.6;0.61;287.0;284.0;284.0;0.0;;;0.0
N;Norte;Reservatório com Usina;AMAZONAS;AMUHBB;BALBINA;277.0;2025-01-01 05:00:00;46.04;24.59;0.61;287.0;284.0;284.0;0.0;;;0.0
N;Norte;Reservatório com Usina;AMAZONAS;AMUHBB;BALBINA;277.0;2025-01-01 06:00:00;46.04;24.59;0.61;287.0;284.0;284.0;0.0;;;0.0
N;Norte;Reservatório com Usina;AMAZONAS;AMUHBB;BALBINA;277.0;2025-01-01 07:00:00;46.04;24.6;0.61;287.0;284.0;284.0;0.0;;;0.0
N;Norte;Reservatório com Usina;AMAZONAS;AMUHBB;BALBINA;277.0;2025-01-01 08:00:00;46.04;24.58;0.61;287.0;278.0;278.0;0.0;;;0.0
N;Norte;Reservatório com Usina;AMAZONAS;AMUHBB;BALBINA;277.0;2025-01-01 09:00:00;46.04;24.59;0.61;287.0;284.0;284.0;0.0;;;0.0
N;Norte;Reservatório com Usina;AMAZONAS;AMUHBB;BALBINA;277.0;2025-01-01 10:00:00;46.04;24.59;0.61;287.0;279.0;279.0;0.0;;;0.0
N;Norte;Reservatório com Usina;AMAZONAS;AMUHBB;BALBINA;277.0;2025-01-01 11:00:00;46.04;24.59;0.61;287.0;284.0;284.0;0.0;;;0.0
