id_subsistema;nom_subsistema;tip_reservatorio;nom_bacia;nom_ree;id_reservatorio;nom_reservatorio;num_ordemcs;cod_usina;din_instante;val_nivelmontante;val_niveljusante;val_volumeutilcon;val_vazaoafluente;val_vazaoturbinada;val_vazaovertida;val_vazaooutrasestruturas;val_vazaodefluente;val_vazaotransferida;val_vazaonatural;val_vazaoartificial;val_vazaoincremental;val_vazaoevaporacaoliquida;val_vazaousoconsuntivo;val_vazaoincrementalbruta
NE;Nordeste;FIO;JEQUITINHONHA;NORDESTE;JEUITP;ITAPEBI;68.0;154.0;2025-01-01;109.82;26.24;82.0;215.81;186.0;14.0;0.0;200.0;0.0;497.41;;107.974;-0.909;1.51;107.281
NE;Nordeste;RCU;PARAGUACU;NORDESTE;PGUCV;PEDRA DO CAVALO;109.0;189.0;2025-01-01;113.17;3.4;82.45;4.07;12.0;0.0;;12.0;13.0;2.44;;2.44;-1.673;5.7068;2.39
NE;Nordeste;RCU;PARNAIBA;NORDESTE;PIBESP;BOA ESPERANÇA;110.0;190.0;2025-01-01;300.58;258.63;38.91;441.185;256.0;0.0;;256.0;;418.24;;443.274;7.136;0.7352;449.056
NE;Nordeste;RCU;SAO FRANCISCO;NORDESTE;SFSOBR;SOBRADINHO;180.0;169.0;2025-01-01;388.15;361.69;48.67;1600.0;953.0;0.0;;953.0;;2307.0;;1616.0;201.599;47.3068;1616.0
NE;Nordeste;RCU;SAO FRANCISCO;NORDESTE;SFLGON;LUIZ GONZAGA;181.0;172.0;2025-01-01;301.19;251.32;40.26;780.0;711.0;0.0;;711.0;;2067.61;;0.0;47.337;108.0419;
NE;Nordeste;FIO;SAO FRANCISCO;NORDESTE;SFMOXO;APOLONIO SALES;182.0;173.0;2025-01-01;251.36;230.26;67.46;655.69;0.0;0.0;;0.0;783.0;2067.61;;0.0;;110.651;
NE;Nordeste;FIO;SAO FRANCISCO;NORDESTE;SFP123;P. AFONSO 1,2,3;183.0;174.0;2025-01-01;230.21;139.75;96.94;0.0;0.0;0.0;;0.0;;2067.61;;0.0;0.34;110.7165;
NE;Nordeste;FIO;SAO FRANCISCO;NORDESTE;SFPAF4;P. AFONSO 4;184.0;175.0;2025-01-01;251.13;137.71;55.98;597.81;783.0;0.0;;783.0;;2067.61;;;;110.7165;
NE;Nordeste;FIO;SAO FRANCISCO;NORDESTE;SFXING;XINGO;185.0;178.0;2025-01-01;137.59;14.53;51.22;783.0;852.0;0.0;;852.0;;1962.78;;0.0;4.082;111.0848;
N;Norte;FIO;ARAGUARI;MANAUS-AMAPA;AAUCCA;CACHOEIRA CALDEIRAO;1.0;204.0;2025-01-01;58.3;41.86;100.0;274.0;274.0;0.0;;274.0;;304.96;;274.976;0.867;;274.867
N;Norte;FIO;ARAGUARI;MANAUS-AMAPA;AMUHCN;COARACY NUNES;2.0;280.0;2025-01-01;41.85;21.47;93.36;276.0;276.0;0.0;;276.0;;306.25;;0.834;;0.0;0.583
N;Norte;FIO;ARAGUARI;MANAUS-AMAPA;AAFGO;FERREIRA GOMES;3.0;284.0;2025-01-01;20.68;2.21;37.03;273.639;266.0;0.0;;266.0;;309.08;;2.224;0.347;0.01;-6.671
N;Norte;RCU;AMAZONAS;MANAUS-AMAPA;AMUHBB;BALBINA;10.0;277.0;2025-01-01;46.04;24.59;0.61;428.444;284.0;0.0;;284.0;;373.43;;350.324;19.683;0.04;448.167
N;Norte;RCU;AMAZONAS;BELO MONTE;CRCURU;CURUA-UNA;16.0;272.0;2025-01-01;27.58;10.91;23.76;167.697;174.0;0.0;;174.0;;166.25;;165.7;0.7;0.06;168.457
N;Norte;FIO;AMAZONAS;MANAUS-AMAPA;AMSAJ;STO ANTONIO DO JARI;17.0;286.0;2025-01-01;29.17;2.07;7.27;282.25;231.0;0.0;45.0;276.0;;339.49;;284.588;0.381;0.901;283.532
N;Norte;FIO;AMAZONAS;BELO MONTE;AMUSBM;BELO MONTE;18.0;288.0;2025-01-01;95.34;3.0;32.56;2958.883;2868.0;0.0;0.0;2868.0;0.0;0.0;4037.761;0.0;0.0;;2958.883
N;Norte;FIO;AMAZONAS;BELO MONTE;AMUSPM;PIMENTAL;19.0;314.0;2025-01-01;95.9;82.77;-205.43;4965.094;919.0;0.0;8.0;927.0;2958.883;4867.01;986.387;5024.148;0.0;6.689;4971.783
N;Norte;FIO;TOCANTINS;NORTE;TOUHET;ESTREITO;218.0;267.0;2025-01-01;155.42;131.41;87.09;2438.323;2262.0;0.0;;2262.0;;4055.69;;1473.602;4.646;10.0065;1160.608
N;Norte;RCU;TOCANTINS;NORTE;TOTUCU;TUCURUI;219.0;275.0;2025-01-01;62.47;5.41;31.74;6710.958;4962.0;0.0;;4962.0;;8770.04;;5134.755;7.451;28.2465;4889.441
SE;Sudeste/Centro-Oeste;FIO;AMAZONAS;SUDESTE;AMSAPI;SALTO APIACAS;;225.0;2025-01-01;247.61;221.76;104.5;188.933;187.0;0.0;;187.0;;188.94;;188.945;0.012;;188.945
SE;Sudeste/Centro-Oeste;RES;SANTA MARIA VIT;SUDESTE;ODRBON;RIO BONITO;;;2025-01-01;647.0;490.86;59.49;14.98;19.0;0.0;0.0;19.0;;7.51;;7.51;-0.01;;14.97
SE;Sudeste/Centro-Oeste;CED;TIETE;;TICPBA;CANAL P. BARRETO;;0.0;2025-01-01;;;;-723.0;;;;;;;;;;;
SE;Sudeste/Centro-Oeste;FIC;PARANA;PARANA;PNTIRM;ILHA + T. IRMÃOS;;44.0;2025-01-01;71.89;;71.89;4899.727;3301.0;0.0;0.0;3301.0;;11183.35;;482.71700000000004;;;261.5
SE;Sudeste/Centro-Oeste;FIO;AMAZONAS;TELES PIRES;AMSAPI;SALTO APIACAS;;225.0;2025-01-01;247.61;221.76;104.5;188.933;187.0;0.0;;187.0;;188.94;;188.945;0.012;;188.945
